,,,,excel text formatted,,,,excel text formatted,,,,,,,,,,,,,
Material ID,Material Name Tag Info From gbXML,Material Name From Arch. Files (and Alternate Names),Is a Window Marker,Embodied Energy,Units (Embodied Energy),Material Density From Arch. Files,Units (Density),Material Density From gbXML Files,?,Unit Cost (Material),"Unit Cost (Material, Labor, and Equipment)",Unit Cost (Total Inc.       O & P),"Units, Unit Cost",Life Expectancy,Maintenance Factor,,,,,,
single room (Door in this case...),Metal surface,none,0,25,MJ/kg,7824,kg/m^3,,5,,,,,,,,,,,,
single room (...w/ wood center),1 1/2 in wood,none,0,7.4,MJ/kg,510,kg/m^3,,5,,,,,,,,,,,,
single room,1/8 in Pilkington single glazing,none,1,18.5,MJ/kg,2500,kg/m^3,,5,4.82,10.17,13.35,$/SF,,,,,,,,
,,Float Glass,,,,,,,,,,,,,,,,,,,
two room (wall case),"Concrete, Lightweight: 1' - 8""",Lightweight Concrete,0,0.95,MJ/kg,620,kg/m^3,,5,16,,,,1.3333,12,,,,,,
two room,Asphalt Shingle: 1',Asphalt Shingle,0,9,MJ/kg,1120,kg/m^3,,5,81,136.5,183,$/Sq.,,9,,,,,,
two room,Oak Flooring: 1',Sawn Hardwood,0,7.8,MJ/kg,720,kg/m^3,,5,0.52,,,,,,,,,,,
two room,"Oak Flooring: 1 1/2""",Sawn Hardwood,0,7.8,MJ/kg,720,kg/m^3,,5,0.52,,,,,,,,,,,
four room,"Structure, Wood Joist/Rafter Layer: 5 1/2","2x12"" Rafter @ 24"" oc",0,7.4,MJ/kg,510,kg/m^3,,5,660,"1,070","1,350",$/SF,,,,,,,,
four room,5/8 in plywood,Plywood Sheathing,0,6448.8,BTU/lb,544,kg/m^3,,5,0.51,1.11,1.48,$/SF,,,,,,,,
four room,Opaque spandral glass,Opaque Spandrel Glass,0,18.5,MJ/kg,2528,kg/m^3,,5,16.1,22.4,27.5,$/SF,,,,,,,,
,,"Spandrel Glass, Glass for Non Vision Areas",,,,,,,,,,,,,,,,,,,
vet center additions,"Structure, Wood Joist/Rafter Layer: 3 1/2""","Wood Framing 2x4"" @ 24"" oc",0,3663.5,BTU/lb,31.8,lb/ft^3,30.96427,1.25,540,"1,890","2,700",$/MBF,60,1.6667,,Heat Loss ,,,,
,"Structure, Wood Joist/Rafter Layer: 5 1/2""","Wood Framing 2x4"" @ 24"" oc",0,3663.5,BTU/lb,31.8,lb/ft^3,30.96427,1.25,540,"1,890","2,700",$/MBF,60,1.6667,,Heat Loss ,,,,
,"Brick, Common: 1' - 3 3/4""","Brick 8""",0,1289.77,BTU/lb,120,lb/ft^3,96.763338,0.44,4.56,11.31,15.2,$/SF,100,1,,,,,,
,"Air: 1""",Air,0,0,BTU/lb,0,lb/ft^3,0,0,0,0,0,$/SF,0,0,,,,,,
,AirSpace,Air,0,0,BTU/lb,0,lb/ft^3,0,0,0,0,0,$/SF,0,0,,,,,,
,"Structure, Wood Joist/Rafter Layer Batt Insulation: 3 1/2""","Wood Framing 2x4"" @ 24"" oc",0,3663.5,BTU/lb,31.8,lb/ft^3,30.96427,1.25,540,"1,890","2,700",$/MBF,,,,,,,,
,"Gypsum Wall Board: 5/8""",Gypsum Wall Board,0,1292.48,BTU/lb,46.5,lb/ft^3,68.670756,0.9,0.63,,,,100,1,,,,,,
,"Limestone: 3 1/2""",Stone,0,0.64,MJ/kg,2750,kg/m^3,,,,,,,,,,,,,,
,"Concrete, Lightweight: 4""",General Concrete,0,0.95,MJ/kg,143.6,lb/ft^3,,5,99,99,109,$/CY,,,,,,,,
,"Rubber, Black: 1/16""",Rubber,0,110,MJ/kg,930,kg/m^3,,,,,,,,,,,,,,
"from 11.5"" above 3'?","Structure, Wood Joist/Rafter Layer: 3'","2x12"" Rafter @ 24"" oc",0,3663.5,BTU/lb,31.8,lb/ft^3,,1.25,660,"1,070","1,350",$/MBF,60,1.6667,,,,,,
,"Concrete, Cast-in-Place gray: 2""",General Concrete,0,0.95,MJ/kg,143.6,lb/ft^3,,5,99,99,109,$/CY,,,,,,,,
,"Concrete, Cast-in-Place gray",General Concrete,0,0.95,MJ/kg,143.6,lb/ft^3,,5,99,99,109,$/CY,,,,,,,,
